ID	ISBN	Price	Title	Teaser	Auth_1	Auth_2	Auth_3	Review	Reviewer	Issue_date	Issue	Record_type	Sub_headline	Headline	Publisher	Pub_date	Categories	SubCategories	Metadata	Image	Field21
2436	1575870908	$8.95	Pinpoint Guide to Alabama & Florida Civil War Sites		Jones, Ray					Fall 1999	1999-09-01	Annotation			Crane Hill Publishers					"<img hspace=6 align=LEFT width=161 height=360 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/CondraPinpointGuidetoAlabamandFlorida.jpg"">"	
2438	1560066679	$23.97	Life on the Underground Railroad		Kallen, Stuart A.					June/July 2000	2000-06-01	Annotation								"<img hspace=6 align=LEFT width=161 height=188 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/KallenUndergroundRailroad.jpg"">"	
2442	1581820852	$18.95	The Price of Freedom:  Vol. I, The Demise of Slavery		Greenberg, Martin H.	Waugh, Charles G.				Summer 2001	2001-06-01	Annotation			Cumberland House					"<img hspace=6 align=LEFT width=161 height=244 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/GreenbergPriceofFreedom.jpg"">"	
3647	966636589		The Penniman Papers: A Georgia Family in the Civil War		Hickox, O.J., Jr., ed.					Winter 2007	2007-02-01	Annotation			The Bryan-Lang Historical Library Foundation, Inc.					"<img hspace=6 align=LEFT width=161 height=209 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/ThePennimanPapers.jpg"">"	
3688	9780975372104	$17.95	Fame's Eternal Camping-Grounds: A Historical and the Original Authentic Accounts of the Civil War Battles Fort Donelson, Shiloh, and Vicksburg		Mate, Tammy L. with Larry D. Gensch					Spring 2007	2007-05-01	Annotation			Fame's Eternal Books					"<img hspace=6 align=LEFT width=161 height=245 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/FamesEternal.jpg"">"	
3695	970282923	$19.95	Other Noted Guerrillas of the Civil War in Missouri		Wood, Larry					Spring 2007	2007-05-01	Annotation			Hickory Press					"<img hspace=6 align=LEFT width=161 height=251 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/OtherNotedGuerrillas.jpg"">"	
4217	9781581826470	$16.95 softcover	The Fog of Gettysburg: The Myths and Mysteries of the Battle		Allers, Ken, Jr.					Spring 2009	2009-05-01	Annotation			Cumberland House					"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/Gettysburg.jpg"">"	
4254	9780681497566	$24.95 softcover	Bedlam South: A Novel		Grisham, Mark	Donaldson, David				Summer 2009	2009-08-01	Annotation			State Street Press					"<img hspace=6 align=LEFT width=161 height=244 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/BedlamSouth.jpg"">"	
4269	9780881461084	$35.00 hardcover	Invisible Hero: Patrick R. Cleburne		Stewart, Bruce H., Jr.					Summer 2009	2009-08-01	Annotation			Mercer University Press					"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/InvisibleHero.jpg"">"	
5073	978-0-253-00611-0	$29.00	McClellan's War: The Failure of Moderation in the Struggle for the Union (Now in Paper)		Rafuse, Ethan S.					Spring 2012	2012-05-01	Annotation			Indiana University Press					"<img hspace=6 align=LEFT width=161 height=254 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/McClellansWar.jpg"">"	
5082			American Military Shoulder Arms: Colonial and Revolutionary War Arms		Moller, George D.					Spring 2012	2012-05-01	Annotation								"<img hspace=6 align=LEFT width=161 height=219 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/AmericanMilitary.jpg"">"	
5091	978-1463584535	$9.95	Clopton's Short History of the Confederate States of America, 1861-1925: A Story of What Might Have Been		Scott, Carole					Spring 2012	2012-05-01	Annotation			CreateSpace					"<img hspace=6 align=LEFT width=161 height=242 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/CloptonsShortHistory.jpg"">"	
5097	978-1456580186	$9.63	Joining Up		McGuire, John Jack					Spring 2012	2012-05-01	Annotation			CreateSpace					"<img hspace=6 align=LEFT width=161 height=258 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/JoiningUP.jpg"">"	
5821	9781608933464	$19.95	The Rebel Yell & Thee Yankee Hurrah: The Civil War Journal of A Maine Volunteer Private John W. Haley, 17th Maine Regiment		Silliker, Ruth L.					Fall 2014	2014-11-01	Annotation			Down East Books					"<img hspace=6 align=LEFT width=161 height=241 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/TheRebellYellHaley.jpg"">"	
5804			Civil War Treasures: <br>Party Planning:  St. Landry Parish, Radical Republicans, and the Vote for the 1867 Constitutional Convention		Laver, Tara					Summer 2014	2014-08-01	Classics									
1097	807117188		The Conservative Regime: South Carolina, 1877-1890		Cooper Jr., William J.										Louisiana State University Press	33482		PolGeneral			
1455	55309633		Grant: A Novel		Byrd, Max					Summer 2000	2000-06-01				Bantam	0000-00-00		BioGeneral, PolGeneral, MilGeneral		"<img hspace=6 align=LEFT width=161 height=243 alt=""Product Cover"" border=0 src=""/civilwarbookreview/images/jackets/MaxByrdGrant.jpg"">"	
1456	813121566		Lincoln of Kentucky		Harrison, Lowell Hayes										University Press of Kentucky	36557		BioGeneral			
1457	312229224		Moonlight: Abraham Lincoln and the Almanac Trial		Walsh, John Evangelist										St. Martin's Press	36647		BioGeneral			
1458	156512166X		Lincoln as I Knew Him: Gossip, Tributes, and Revelations from His Best Friends and Worst Enemies		Holzer, Harold										Algonquin Books of Chapel Hill	36434		BioGeneral			
1459	700610014		Lincoln Seen and Heard		Holzer, Harold										University Press of Kansas	36557		BioGeneral			
1460	671867423		Lincoln at Gettysburg: The Words That Remade America		Wills, Garry										Touchstone Books	34090		BioGeneral			
1461	1558537864		A Commitment to Honor: A Unique Portrait of Abraham Lincoln in His Own Words		Lincoln, Abraham	Leidner, Gordon									Rutledge Hill Press	36586		BioGeneral			
1462	679743987		Sheridan: The Life and Wars of General Phil Sheridan		Morris, Roy, Jr.										Vintage Books	34182		BioGeneral			
1463	195126289		Ambrose Bierce: Alone in Bad Company		Morris, Roy, Jr.										Oxford University Press	36100		BioGeneral			
